date,description,debit,credit
2016-10-24,TRANSACTION 151,606,553
2016-10-24,TRANSACTION 152,689,705
2016-10-24,TRANSACTION 153,334,563
2016-10-24,TRANSACTION 154,726,443
2016-10-24,TRANSACTION 155,386,450
2016-10-24,TRANSACTION 156,227,611
2016-10-24,TRANSACTION 157,671,456
2016-10-21,TRANSACTION 158,962,467
2016-10-20,TRANSACTION 159,259,822
2016-10-20,TRANSACTION 160,643,564
2016-10-19,TRANSACTION 161,573,422
2016-10-19,TRANSACTION 162,853,473
2016-10-19,TRANSACTION 163,575,995
2016-10-18,TRANSACTION 164,708,650
2016-10-18,TRANSACTION 165,941,439
2016-10-17,TRANSACTION 166,381,959
2016-10-17,TRANSACTION 167,40,634
2016-10-17,TRANSACTION 168,103,448
2016-10-17,TRANSACTION 169,661,436
2016-10-17,TRANSACTION 170,614,643
2016-10-17,TRANSACTION 171,199,863
2016-10-17,TRANSACTION 172,775,595
2016-10-14,TRANSACTION 173,693,449
2016-10-14,TRANSACTION 174,773,903
2016-10-13,TRANSACTION 175,149,538
2016-10-12,TRANSACTION 176,915,631
2016-10-12,TRANSACTION 177,899,746
2016-10-11,TRANSACTION 178,922,632
2016-10-11,TRANSACTION 179,234,677
2016-10-11,TRANSACTION 180,913,866
2016-10-11,TRANSACTION 181,456,664
2016-10-11,TRANSACTION 182,407,854
2016-10-11,TRANSACTION 183,410,649
2016-10-11,TRANSACTION 184,950,986
2016-10-07,TRANSACTION 185,251,862
2016-10-06,TRANSACTION 186,110,851
2016-10-06,TRANSACTION 187,111,933
2016-10-06,TRANSACTION 188,34,476
2016-10-05,TRANSACTION 189,589,694
2016-10-05,TRANSACTION 190,408,994
2016-10-05,TRANSACTION 191,410,590
2016-10-03,TRANSACTION 192,313,600
2016-10-03,TRANSACTION 193,750,760
2016-10-03,TRANSACTION 194,959,849
2016-10-03,TRANSACTION 195,42,847
2016-10-03,TRANSACTION 196,417,520
2016-10-03,TRANSACTION 197,989,964
2016-10-03,TRANSACTION 198,82,812
2016-10-03,TRANSACTION 199,617,838
2016-10-03,TRANSACTION 200,752,567
2016-09-30,TRANSACTION 201,845,867
2016-09-30,TRANSACTION 202,119,746
2016-09-30,TRANSACTION 203,308,442
2016-09-30,TRANSACTION 204,962,920
2016-09-30,TRANSACTION 205,471,763
2016-09-29,TRANSACTION 206,666,999
2016-09-28,TRANSACTION 207,206,556
2016-09-28,TRANSACTION 208,708,650
2016-09-27,TRANSACTION 209,285,407
2016-09-27,TRANSACTION 210,517,422
2016-09-27,TRANSACTION 211,94,553
2016-09-27,TRANSACTION 212,607,879
2016-09-26,TRANSACTION 213,32,849
2016-09-26,TRANSACTION 214,74,869
2016-09-26,TRANSACTION 215,966,829
2016-09-23,TRANSACTION 216,759,755
2016-09-22,TRANSACTION 217,383,449
2016-09-22,TRANSACTION 218,820,443
2016-09-22,TRANSACTION 219,17,906
2016-09-21,TRANSACTION 220,229,857
2016-09-21,TRANSACTION 221,651,458
2016-09-20,TRANSACTION 222,457,457
2016-09-20,TRANSACTION 223,908,446
2016-09-20,TRANSACTION 224,841,975
2016-09-19,TRANSACTION 225,345,837
2016-09-19,TRANSACTION 226,446,586
2016-09-19,TRANSACTION 227,163,631
2016-09-19,TRANSACTION 228,720,920
2016-09-16,TRANSACTION 229,696,958
2016-09-16,TRANSACTION 230,617,776
2016-09-16,TRANSACTION 231,199,816
2016-09-16,TRANSACTION 232,919,578
2016-09-15,TRANSACTION 233,283,754
2016-09-15,TRANSACTION 234,95,447
2016-09-14,TRANSACTION 235,512,475
2016-09-14,TRANSACTION 236,854,817
2016-09-14,TRANSACTION 237,361,784
2016-09-13,TRANSACTION 238,135,864
2016-09-13,TRANSACTION 239,928,869
2016-09-13,TRANSACTION 240,513,484
2016-09-12,TRANSACTION 241,968,732
2016-09-12,TRANSACTION 242,521,998
2016-09-12,TRANSACTION 243,806,680
2016-09-09,TRANSACTION 244,631,578
2016-09-08,TRANSACTION 245,937,404
2016-09-08,TRANSACTION 246,178,963
2016-09-07,TRANSACTION 247,228,541
2016-09-06,TRANSACTION 248,644,989
2016-09-06,TRANSACTION 249,642,599
2016-09-06,TRANSACTION 250,936,569
2016-09-06,TRANSACTION 251,459,678
2016-09-06,TRANSACTION 252,947,716
2016-09-06,TRANSACTION 253,629,665
2016-09-06,TRANSACTION 254,191,941
2016-09-06,TRANSACTION 255,734,940
2016-09-02,TRANSACTION 256,527,916
2016-09-02,TRANSACTION 257,161,708
2016-09-02,TRANSACTION 258,75,964
2016-09-01,TRANSACTION 259,65,626
2016-08-31,TRANSACTION 260,915,404
2016-08-31,TRANSACTION 261,157,833
2016-08-31,TRANSACTION 262,644,731
2016-08-31,TRANSACTION 263,63,443
2016-08-31,TRANSACTION 264,957,932
2016-08-30,TRANSACTION 265,132,918
2016-08-30,TRANSACTION 266,934,554
2016-08-30,TRANSACTION 267,48,608
2016-08-30,TRANSACTION 268,866,713
2016-08-30,TRANSACTION 269,635,933
2016-08-30,TRANSACTION 270,781,621
2016-08-30,TRANSACTION 271,310,637
2016-08-29,TRANSACTION 272,466,687
2016-08-29,TRANSACTION 273,126,570
2016-08-29,TRANSACTION 274,106,712
2016-08-29,TRANSACTION 275,55,873
2016-08-26,TRANSACTION 276,855,723
2016-08-25,TRANSACTION 277,638,821
2016-08-24,TRANSACTION 278,610,829
2016-08-23,TRANSACTION 279,349,885
2016-08-23,TRANSACTION 280,441,490
2016-08-23,TRANSACTION 281,82,824
2016-08-23,TRANSACTION 282,987,541
2016-08-23,TRANSACTION 283,941,810
2016-08-22,TRANSACTION 284,876,758
2016-08-22,TRANSACTION 285,979,830
2016-08-22,TRANSACTION 286,891,513
2016-08-22,TRANSACTION 287,80,505
2016-08-22,TRANSACTION 288,870,742
2016-08-22,TRANSACTION 289,164,722
2016-08-19,TRANSACTION 290,695,527
2016-08-19,TRANSACTION 291,446,876
2016-08-19,TRANSACTION 292,786,406
2016-08-18,TRANSACTION 293,361,920
2016-08-16,TRANSACTION 294,714,613
2016-08-16,TRANSACTION 295,347,914
2016-08-15,TRANSACTION 296,917,497
2016-08-15,TRANSACTION 297,383,443
2016-08-15,TRANSACTION 298,988,930
2016-08-15,TRANSACTION 299,660,604
2016-08-15,TRANSACTION 300,919,525
2016-08-15,TRANSACTION 301,292,714
2016-08-12,TRANSACTION 302,445,685
2016-08-12,TRANSACTION 303,944,440
2016-08-12,TRANSACTION 304,418,692
2016-08-12,TRANSACTION 305,749,742
2016-08-11,TRANSACTION 306,507,805
2016-08-11,TRANSACTION 307,827,825
2016-08-11,TRANSACTION 308,887,987
2016-08-11,TRANSACTION 309,664,446
2016-08-10,TRANSACTION 310,304,441
2016-08-10,TRANSACTION 311,22,882
2016-08-10,TRANSACTION 312,461,712
2016-08-10,TRANSACTION 313,981,776
2016-08-09,TRANSACTION 314,962,640
2016-08-08,TRANSACTION 315,377,783
2016-08-08,TRANSACTION 316,22,905
2016-08-08,TRANSACTION 317,287,704
2016-08-08,TRANSACTION 318,856,554
2016-08-05,TRANSACTION 319,891,864
2016-08-05,TRANSACTION 320,203,454
2016-08-05,TRANSACTION 321,707,824
2016-08-05,TRANSACTION 322,708,559
2016-08-04,TRANSACTION 323,778,753
2016-08-02,TRANSACTION 324,880,760
2016-08-02,TRANSACTION 325,581,463
2016-08-02,TRANSACTION 326,728,713
2016-08-02,TRANSACTION 327,557,869
2016-08-02,TRANSACTION 328,133,803
2016-08-02,TRANSACTION 329,798,725
2016-08-02,TRANSACTION 330,273,850
2016-08-02,TRANSACTION 331,956,907
2016-07-29,TRANSACTION 332,410,824
2016-07-29,TRANSACTION 333,340,691
2016-07-29,TRANSACTION 334,188,869
2016-07-28,TRANSACTION 335,778,874
2016-07-27,TRANSACTION 336,936,874
2016-07-26,TRANSACTION 337,727,536
2016-07-26,TRANSACTION 338,411,537
2016-07-25,TRANSACTION 339,880,440
2016-07-25,TRANSACTION 340,635,757
2016-07-22,TRANSACTION 341,627,956
2016-07-22,TRANSACTION 342,805,575
2016-07-22,TRANSACTION 343,311,572
2016-07-22,TRANSACTION 344,578,930
2016-07-22,TRANSACTION 345,828,998
2016-07-22,TRANSACTION 346,785,457
2016-07-19,TRANSACTION 347,595,909
2016-07-18,TRANSACTION 348,921,663
2016-07-18,TRANSACTION 349,193,475
2016-07-18,TRANSACTION 350,631,528
2016-07-14,TRANSACTION 351,839,487
2016-07-13,TRANSACTION 352,887,535
2016-07-13,TRANSACTION 353,777,599
2016-07-12,TRANSACTION 354,254,989
2016-07-12,TRANSACTION 355,312,518
2016-07-11,TRANSACTION 356,402,517
2016-07-11,TRANSACTION 357,466,498
2016-07-11,TRANSACTION 358,761,671
2016-07-08,TRANSACTION 359,746,942
2016-07-08,TRANSACTION 360,120,943
2016-07-07,TRANSACTION 361,824,886
2016-07-07,TRANSACTION 362,227,590
2016-07-04,TRANSACTION 363,882,545
2016-07-04,TRANSACTION 364,869,736
2016-07-04,TRANSACTION 365,45,974
2016-07-04,TRANSACTION 366,112,881
2016-06-30,TRANSACTION 367,224,778
2016-06-30,TRANSACTION 368,923,450
2016-06-30,TRANSACTION 369,910,566
2016-06-30,TRANSACTION 370,343,936
2016-06-30,TRANSACTION 371,733,664
2016-06-30,TRANSACTION 372,512,431
2016-06-30,TRANSACTION 373,752,694
2016-06-30,TRANSACTION 374,114,888
2016-06-30,TRANSACTION 375,250,936
2016-06-30,TRANSACTION 376,558,483
2016-06-30,TRANSACTION 377,72,545
2016-06-29,TRANSACTION 378,177,490
2016-06-29,TRANSACTION 379,513,795
2016-06-29,TRANSACTION 380,760,672
2016-06-29,TRANSACTION 381,613,956
2016-06-27,TRANSACTION 382,460,741
2016-06-27,TRANSACTION 383,489,740
2016-06-27,TRANSACTION 384,228,467
2016-06-27,TRANSACTION 385,361,817
2016-06-27,TRANSACTION 386,362,666
2016-06-27,TRANSACTION 387,680,915
2016-06-24,TRANSACTION 388,860,931
2016-06-24,TRANSACTION 389,528,482
2016-06-23,TRANSACTION 390,503,666
2016-06-23,TRANSACTION 391,721,464
2016-06-23,TRANSACTION 392,77,626
2016-06-22,TRANSACTION 393,638,973
2016-06-22,TRANSACTION 394,749,743
2016-06-21,TRANSACTION 395,96,934
2016-06-21,TRANSACTION 396,923,947
2016-06-21,TRANSACTION 397,517,693
2016-06-21,TRANSACTION 398,943,411
2016-06-20,TRANSACTION 399,853,904
2016-06-20,TRANSACTION 400,834,496
2016-06-20,TRANSACTION 401,156,436
2016-06-20,TRANSACTION 402,991,792
2016-06-20,TRANSACTION 403,427,901
2016-06-17,TRANSACTION 404,325,604
2016-06-17,TRANSACTION 405,131,455
2016-06-15,TRANSACTION 406,759,712
2016-06-15,TRANSACTION 407,331,503
2016-06-14,TRANSACTION 408,498,625
2016-06-14,TRANSACTION 409,671,971
2016-06-14,TRANSACTION 410,345,644
2016-06-13,TRANSACTION 411,64,940
2016-06-13,TRANSACTION 412,834,725
2016-06-13,TRANSACTION 413,441,838
2016-06-13,TRANSACTION 414,861,832
2016-06-13,TRANSACTION 415,256,840
2016-06-13,TRANSACTION 416,411,997
2016-06-10,TRANSACTION 417,14,681
2016-06-10,TRANSACTION 418,238,560
2016-06-09,TRANSACTION 419,634,808
2016-06-08,TRANSACTION 420,11,709
2016-06-08,TRANSACTION 421,744,821
2016-06-07,TRANSACTION 422,518,747
2016-06-06,TRANSACTION 423,628,619
2016-06-06,TRANSACTION 424,774,444
2016-06-06,TRANSACTION 425,253,873
2016-06-06,TRANSACTION 426,983,641
2016-06-06,TRANSACTION 427,698,974
2016-06-06,TRANSACTION 428,900,622
2016-06-06,TRANSACTION 429,357,584
2016-06-06,TRANSACTION 430,618,862
2016-06-06,TRANSACTION 431,465,586
2016-06-03,TRANSACTION 432,943,647
2016-06-02,TRANSACTION 433,883,785
2016-06-02,TRANSACTION 434,50,601
2016-06-02,TRANSACTION 435,267,697
2016-06-01,TRANSACTION 436,538,745
2016-06-01,TRANSACTION 437,935,675
2016-06-01,TRANSACTION 438,284,510
2016-05-31,TRANSACTION 439,220,851
2016-05-31,TRANSACTION 440,555,415
2016-05-31,TRANSACTION 441,218,770
2016-05-31,TRANSACTION 442,397,649
2016-05-30,TRANSACTION 443,309,458
2016-05-30,TRANSACTION 444,110,430
2016-05-30,TRANSACTION 445,281,979
2016-05-27,TRANSACTION 446,30,949
2016-05-27,TRANSACTION 447,216,844
2016-05-27,TRANSACTION 448,529,921
2016-05-27,TRANSACTION 449,782,672
2016-05-27,TRANSACTION 450,197,526
2016-05-25,TRANSACTION 451,339,972
2016-05-25,TRANSACTION 452,78,641
2016-05-25,TRANSACTION 453,822,618
2016-05-25,TRANSACTION 454,872,887
2016-05-25,TRANSACTION 455,123,967
2016-05-24,TRANSACTION 456,812,599
2016-05-24,TRANSACTION 457,901,916
2016-05-24,TRANSACTION 458,699,850
2016-05-24,TRANSACTION 459,962,447
2016-05-24,TRANSACTION 460,512,902
2016-05-24,TRANSACTION 461,607,477
2016-05-24,TRANSACTION 462,621,535
2016-05-24,TRANSACTION 463,697,535
2016-05-24,TRANSACTION 464,855,982
2016-05-24,TRANSACTION 465,802,464
2016-05-20,TRANSACTION 466,545,449
2016-05-19,TRANSACTION 467,942,650
2016-05-19,TRANSACTION 468,469,443
2016-05-18,TRANSACTION 469,424,593
2016-05-18,TRANSACTION 470,125,820
2016-05-16,TRANSACTION 471,706,873
2016-05-13,TRANSACTION 472,981,437
2016-05-13,TRANSACTION 473,393,468
2016-05-12,TRANSACTION 474,654,868
2016-05-11,TRANSACTION 475,94,514
2016-05-10,TRANSACTION 476,320,776
2016-05-09,TRANSACTION 477,303,713
2016-05-09,TRANSACTION 478,107,690
2016-05-05,TRANSACTION 479,154,575
2016-05-03,TRANSACTION 480,924,741
2016-05-03,TRANSACTION 481,917,428
2016-05-03,TRANSACTION 482,556,672
2016-05-02,TRANSACTION 483,100,860
2016-05-02,TRANSACTION 484,155,632
2016-05-02,TRANSACTION 485,973,853
2016-05-02,TRANSACTION 486,969,774
2016-05-02,TRANSACTION 487,758,633
2016-05-02,TRANSACTION 488,251,903
2016-05-02,TRANSACTION 489,349,811
2016-05-02,TRANSACTION 490,776,474
2016-05-02,TRANSACTION 491,978,920
2016-04-29,TRANSACTION 492,103,421
2016-04-29,TRANSACTION 493,259,673
2016-04-29,TRANSACTION 494,432,424
2016-04-29,TRANSACTION 495,419,568
2016-04-28,TRANSACTION 496,542,627
2016-04-27,TRANSACTION 497,384,439
2016-04-27,TRANSACTION 498,484,909
2016-04-27,TRANSACTION 499,466,616
2016-04-27,TRANSACTION 500,116,657
2016-04-27,TRANSACTION 501,603,582
2016-04-26,TRANSACTION 502,328,708
2016-04-26,TRANSACTION 503,979,840
2016-04-25,TRANSACTION 504,130,779
2016-04-25,TRANSACTION 505,911,684
2016-04-22,TRANSACTION 506,435,851
2016-04-20,TRANSACTION 507,877,923
2016-04-20,TRANSACTION 508,54,762
2016-04-19,TRANSACTION 509,166,428
2016-04-18,TRANSACTION 510,827,436
2016-04-18,TRANSACTION 511,948,598
2016-04-18,TRANSACTION 512,26,645
2016-04-18,TRANSACTION 513,640,908
2016-04-18,TRANSACTION 514,291,801
2016-04-18,TRANSACTION 515,393,613
2016-04-15,TRANSACTION 516,745,418
2016-04-15,TRANSACTION 517,664,490
2016-04-15,TRANSACTION 518,722,437
2016-04-15,TRANSACTION 519,292,684
2016-04-15,TRANSACTION 520,976,832
2016-04-13,TRANSACTION 521,857,854
2016-04-12,TRANSACTION 522,108,810
2016-04-11,TRANSACTION 523,509,901
2016-04-11,TRANSACTION 524,820,623
2016-04-11,TRANSACTION 525,444,664
2016-04-11,TRANSACTION 526,519,575
2016-04-11,TRANSACTION 527,880,453
2016-04-07,TRANSACTION 528,235,527
2016-04-07,TRANSACTION 529,95,597
2016-04-06,TRANSACTION 530,952,569
2016-04-06,TRANSACTION 531,367,478
2016-04-05,TRANSACTION 532,705,774
2016-04-05,TRANSACTION 533,735,782
2016-04-04,TRANSACTION 534,306,597
2016-04-04,TRANSACTION 535,603,794
2016-04-01,TRANSACTION 536,954,943
2016-04-01,TRANSACTION 537,471,535
2016-03-31,TRANSACTION 538,70,460
2016-03-31,TRANSACTION 539,744,494
2016-03-31,TRANSACTION 540,615,812
2016-03-31,TRANSACTION 541,118,600
2016-03-30,TRANSACTION 542,127,874
2016-03-30,TRANSACTION 543,289,515
2016-03-29,TRANSACTION 544,605,757
2016-03-28,TRANSACTION 545,424,635
2016-03-28,TRANSACTION 546,16,606
2016-03-28,TRANSACTION 547,855,918
2016-03-28,TRANSACTION 548,931,500
2016-03-28,TRANSACTION 549,277,947
2016-03-24,TRANSACTION 550,960,580
2016-03-23,TRANSACTION 551,470,812
2016-03-23,TRANSACTION 552,270,621
2016-03-23,TRANSACTION 553,985,519
2016-03-22,TRANSACTION 554,292,779
2016-03-22,TRANSACTION 555,896,789
2016-03-21,TRANSACTION 556,753,529
2016-03-21,TRANSACTION 557,199,847
2016-03-18,TRANSACTION 558,567,985
2016-03-18,TRANSACTION 559,621,827
2016-03-18,TRANSACTION 560,783,508
2016-03-18,TRANSACTION 561,466,507
2016-03-18,TRANSACTION 562,560,425
2016-03-17,TRANSACTION 563,445,898
2016-03-17,TRANSACTION 564,263,611
2016-03-17,TRANSACTION 565,434,451
2016-03-17,TRANSACTION 566,122,429
2016-03-16,TRANSACTION 567,798,614
2016-03-16,TRANSACTION 568,800,753
2016-03-16,TRANSACTION 569,101,444
2016-03-15,TRANSACTION 570,878,870
2016-03-15,TRANSACTION 571,428,851
2016-03-14,TRANSACTION 572,329,659
2016-03-14,TRANSACTION 573,930,468
2016-03-14,TRANSACTION 574,331,433
2016-03-14,TRANSACTION 575,297,491
2016-03-14,TRANSACTION 576,843,513
2016-03-14,TRANSACTION 577,549,471
2016-03-11,TRANSACTION 578,311,570
2016-03-10,TRANSACTION 579,381,924
2016-03-09,TRANSACTION 580,562,451
2016-03-09,TRANSACTION 581,554,454
2016-03-07,TRANSACTION 582,408,959
2016-03-07,TRANSACTION 583,844,431
2016-03-07,TRANSACTION 584,308,830
2016-03-04,TRANSACTION 585,560,857
2016-03-04,TRANSACTION 586,323,536
2016-03-04,TRANSACTION 587,323,659
2016-03-04,TRANSACTION 588,280,418
2016-03-03,TRANSACTION 589,683,696
2016-03-03,TRANSACTION 590,379,656
2016-03-03,TRANSACTION 591,291,884
2016-03-02,TRANSACTION 592,754,482
2016-03-02,TRANSACTION 593,980,594
2016-03-01,TRANSACTION 594,122,750
2016-03-01,TRANSACTION 595,189,516
2016-03-01,TRANSACTION 596,130,924
2016-02-29,TRANSACTION 597,659,771
2016-02-29,TRANSACTION 598,34,982
2016-02-29,TRANSACTION 599,79,866
2016-02-29,TRANSACTION 600,36,876
2016-02-26,TRANSACTION 601,685,405
2016-02-25,TRANSACTION 602,276,727
2016-02-24,TRANSACTION 603,404,731
2016-02-23,TRANSACTION 604,933,566
2016-02-23,TRANSACTION 605,646,440
2016-02-23,TRANSACTION 606,889,815
2016-02-23,TRANSACTION 607,318,808
2016-02-22,TRANSACTION 608,619,514
2016-02-22,TRANSACTION 609,378,735
2016-02-22,TRANSACTION 610,207,507
2016-02-22,TRANSACTION 611,553,613
2016-02-22,TRANSACTION 612,95,847
2016-02-19,TRANSACTION 613,744,651
2016-02-19,TRANSACTION 614,954,772
2016-02-19,TRANSACTION 615,504,419
2016-02-17,TRANSACTION 616,687,913
2016-02-16,TRANSACTION 617,775,978
2016-02-16,TRANSACTION 618,211,605
2016-02-16,TRANSACTION 619,191,629
2016-02-16,TRANSACTION 620,715,633
2016-02-16,TRANSACTION 621,250,911
2016-02-16,TRANSACTION 622,102,803
2016-02-12,TRANSACTION 623,403,419
2016-02-12,TRANSACTION 624,126,996
2016-02-12,TRANSACTION 625,479,941
2016-02-12,TRANSACTION 626,575,928
2016-02-11,TRANSACTION 627,585,617
2016-02-11,TRANSACTION 628,796,725
2016-02-09,TRANSACTION 629,856,750
2016-02-09,TRANSACTION 630,342,978
2016-02-09,TRANSACTION 631,448,992
2016-02-08,TRANSACTION 632,900,762
2016-02-08,TRANSACTION 633,645,510
2016-02-08,TRANSACTION 634,375,490
2016-02-08,TRANSACTION 635,175,953
2016-02-08,TRANSACTION 636,885,808
2016-02-05,TRANSACTION 637,49,810
2016-02-05,TRANSACTION 638,973,454
2016-02-05,TRANSACTION 639,140,643
2016-02-05,TRANSACTION 640,892,467
2016-02-05,TRANSACTION 641,556,724
2016-02-05,TRANSACTION 642,544,585
2016-02-05,TRANSACTION 643,204,945
2016-02-03,TRANSACTION 644,469,936
2016-02-03,TRANSACTION 645,553,612
2016-01-29,TRANSACTION 646,775,469
2016-01-29,TRANSACTION 647,745,563
2016-01-29,TRANSACTION 648,597,670
2016-01-29,TRANSACTION 649,564,556
2016-01-29,TRANSACTION 650,439,821
2016-01-29,TRANSACTION 651,865,403
2016-01-29,TRANSACTION 652,726,761
2016-01-29,TRANSACTION 653,82,447
2016-01-28,TRANSACTION 654,320,695
2016-01-28,TRANSACTION 655,913,456
2016-01-28,TRANSACTION 656,469,945
2016-01-25,TRANSACTION 657,944,488
2016-01-25,TRANSACTION 658,849,483
2016-01-25,TRANSACTION 659,868,967
2016-01-25,TRANSACTION 660,773,509
2016-01-25,TRANSACTION 661,240,778
2016-01-25,TRANSACTION 662,754,455
2016-01-25,TRANSACTION 663,266,408
2016-01-25,TRANSACTION 664,812,702
2016-01-25,TRANSACTION 665,568,931
